name,learning_rate,gamma,n_steps,ent_coef,timesteps,mean_reward,std_reward,train_time_s
a2c_manual_run,0.0007,0.99,5,0.0,5000,95.5,9.505,10.1
a2c_01_baseline,0.0007,0.99,5,0.0,30000,99.95,7.864,57.8
a2c_02_low_lr,0.0001,0.99,5,0.0,30000,99.1,7.056,57.6
a2c_03_high_lr,0.003,0.99,5,0.0,30000,96.3,8.247,60.4
a2c_04_low_gamma,0.0007,0.9,5,0.0,30000,99.95,8.071,62.6
a2c_05_high_gamma,0.0007,0.999,5,0.0,30000,97.71,9.061,131.7
a2c_06_more_steps,0.0007,0.99,20,0.0,30000,99.9,6.999,85.8
a2c_07_entropy,0.0007,0.99,5,0.01,30000,99.7,7.906,130.1
a2c_08_high_entropy,0.0007,0.99,5,0.05,30000,99.5,7.915,131.1
a2c_09_few_steps,0.0007,0.99,2,0.0,30000,89.4,13.173,220.1
a2c_10_tuned,0.001,0.97,10,0.01,30000,99.35,7.009,100.8
