timesteps,loss
500,1.80072
1000,1.50419
1500,1.57831
2500,0.51771
3000,0.99378
3500,0.64754
4500,0.63344
5000,0.31943
6500,0.92284
7000,0.4885
7500,0.25172
8500,0.01932
9000,0.37624
9500,0.29787
10500,0.50797
11000,0.49395
11500,0.48721
12500,0.90366
13000,0.43622
13500,0.53422
14500,0.94378
15000,0.73503
15500,1.00324
16500,0.4481
17000,0.55475
17500,0.621
18500,0.60189
19000,0.88812
19500,0.79194
20500,1.07164
21000,0.69232
21500,0.76284
22500,0.10668
23000,0.18754
23500,0.3279
24500,1.29703
25000,0.74342
25500,0.49079
26500,0.28634
27000,0.49876
27500,1.24027
28500,0.99374
29000,0.77043
29500,0.58028
