name,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,exploration_final_eps,timesteps,mean_reward,std_reward,train_time_s
dqn_manual_run,0.001,0.99,10000,32,0.3,0.05,3000,100.25,8.129,4.1
dqn_01_baseline,0.001,0.99,10000,32,0.3,0.05,30000,100.75,6.115,47.7
dqn_02_low_lr,0.0001,0.99,10000,32,0.3,0.05,30000,100.45,6.946,44.7
dqn_03_high_lr,0.005,0.99,10000,32,0.3,0.05,30000,99.7,8.161,44.3
dqn_04_low_gamma,0.001,0.9,10000,32,0.3,0.05,30000,99.7,8.161,43.3
dqn_05_high_gamma,0.001,0.999,10000,32,0.3,0.05,30000,99.7,8.161,42.9
dqn_06_small_buffer,0.001,0.99,1000,32,0.3,0.05,30000,99.15,8.02,58.0
dqn_07_large_buffer,0.001,0.99,50000,32,0.3,0.05,30000,99.7,8.161,86.7
dqn_08_more_explore,0.001,0.99,10000,32,0.6,0.1,30000,100.25,6.73,82.0
dqn_09_less_explore,0.001,0.99,10000,32,0.1,0.01,30000,100.5,6.265,90.5
dqn_10_big_batch,0.001,0.99,10000,128,0.3,0.05,30000,100.35,7.876,89.0
