name,learning_rate,gamma,n_steps,batch_size,ent_coef,clip_range,timesteps,mean_reward,std_reward,train_time_s
ppo_manual_run,0.0003,0.99,256,64,0.0,0.2,5000,91.85,12.026,9.6
ppo_01_baseline,0.0003,0.99,256,64,0.0,0.2,30000,98.35,8.481,55.8
ppo_02_low_lr,0.0001,0.99,256,64,0.0,0.2,30000,99.15,8.02,54.6
ppo_03_high_lr,0.001,0.99,256,64,0.0,0.2,30000,98.0,8.672,55.1
ppo_04_low_gamma,0.0003,0.9,256,64,0.0,0.2,30000,99.15,8.02,55.3
ppo_05_high_gamma,0.0003,0.999,256,64,0.0,0.2,30000,91.35,11.473,98.6
ppo_06_small_batch,0.0003,0.99,256,16,0.0,0.2,30000,99.15,8.02,260.7
ppo_07_entropy,0.0003,0.99,256,64,0.01,0.2,30000,99.1,7.056,109.6
ppo_08_wide_clip,0.0003,0.99,256,64,0.0,0.4,30000,98.35,8.481,63.1
ppo_09_narrow_clip,0.0003,0.99,256,64,0.0,0.1,30000,100.2,6.022,55.2
ppo_10_more_steps,0.0003,0.99,1024,128,0.01,0.2,30000,99.1,7.056,43.7
