episode,episode_reward,loss,mean_entropy
0,1.8,0.0377,1.6088
10,-2.0,-0.1403,1.6059
20,13.2,-0.5507,1.6037
30,-15.8,-0.0526,1.6
40,-39.1,-0.0765,1.5931
50,3.0,-0.8914,1.5808
60,-36.8,-1.6064,1.5618
70,-14.6,-0.2271,1.5316
80,-39.0,-0.3051,1.4743
90,-16.2,2.644,1.4352
100,0.8,-0.2106,1.4395
110,-25.2,-1.5384,1.4289
120,11.8,3.1272,1.43
130,10.6,3.802,1.4032
140,20.0,-0.1966,1.3374
150,-16.8,-1.9518,1.291
160,9.0,-1.4787,1.3007
170,-2.2,-4.0234,1.2748
180,24.2,-0.0965,1.2125
190,22.8,0.7873,1.1099
200,36.0,1.5813,1.0961
210,4.2,-4.4547,1.1315
220,10.0,-3.5563,1.0065
230,-33.0,-2.3962,1.0341
240,-23.0,-2.5054,0.9236
250,-43.2,8.8781,0.9891
260,11.6,-9.505,0.9315
270,7.2,-8.2826,0.9414
280,6.4,-4.7182,0.9687
290,54.0,-6.0052,0.7598
300,63.0,-1.2939,0.8033
310,12.4,1.302,0.8817
320,64.4,-5.2943,0.7504
330,50.4,-6.1625,0.8234
340,13.0,-6.7831,0.8679
350,71.0,-1.0077,0.5933
360,54.0,0.5326,0.5529
370,48.8,0.5686,0.8211
380,49.0,-1.8105,0.8128
390,20.0,-2.0312,0.7026
400,66.0,-3.4948,0.8233
410,64.4,-0.6519,0.6625
420,64.4,0.691,0.6322
430,25.0,-8.3314,0.6716
440,17.0,-4.622,0.7425
450,54.0,-1.5884,0.7965
460,42.4,7.1153,0.6494
470,48.0,-1.9734,0.7465
480,79.0,-1.7768,0.4848
490,67.0,-3.4283,0.585
500,67.4,-6.486,0.3724
510,66.0,-5.6092,0.5203
520,63.0,1.1902,0.3844
530,31.8,3.5825,0.7192
540,65.0,-5.3973,0.5405
550,72.0,-2.2205,0.4753
560,86.0,-3.6814,0.538
570,61.0,-4.0556,0.4297
580,73.4,4.4792,0.5251
590,94.0,3.053,0.3562
600,54.0,-0.8392,0.5066
610,67.0,5.5714,0.4182
620,84.0,-3.1395,0.5119
630,67.0,0.5607,0.5095
640,65.4,-2.9655,0.4179
650,99.0,0.2982,0.1185
660,86.4,2.1767,0.4255
670,105.0,1.8466,0.4218
680,95.0,3.4775,0.397
690,71.4,2.9572,0.5293
700,85.0,-1.7946,0.3105
710,64.8,6.655,0.5615
720,77.4,0.6617,0.4009
730,104.0,0.1441,0.419
740,85.0,1.1024,0.3899
750,70.4,2.5302,0.4551
760,94.0,-0.7828,0.4012
770,97.0,0.1667,0.2235
780,89.0,1.4567,0.3473
790,91.0,-0.1679,0.1775
799,76.0,-1.6702,0.2347
