episode,episode_reward,loss,mean_entropy
0,1.8,0.0378,1.6088
10,-36.8,-0.1603,1.6089
20,-23.0,-0.0398,1.6088
30,-54.8,-0.1274,1.6088
40,-55.2,0.019,1.6086
50,-41.4,0.1242,1.6082
60,-11.9,-0.4216,1.608
70,6.3,-0.4739,1.608
80,-39.5,-0.6225,1.608
90,-39.9,-0.2075,1.6077
100,-33.0,-0.0378,1.6077
110,-2.2,-0.5603,1.6076
120,-55.3,-0.2373,1.6074
130,-50.7,0.0143,1.6075
140,-30.2,-0.3168,1.6071
150,-53.4,-0.9532,1.6066
160,3.3,-0.3399,1.6061
170,-11.7,-0.3414,1.606
180,-43.7,-1.0549,1.605
190,-19.7,-0.2797,1.6046
200,-28.4,-1.1757,1.6047
210,-34.5,-1.5518,1.6043
220,-19.7,-0.5588,1.6036
230,-82.2,-0.6608,1.6043
240,-18.4,-0.2205,1.6031
250,-13.5,-0.6995,1.6036
260,9.6,0.0765,1.6029
270,-13.1,-0.384,1.6015
280,3.4,-0.6847,1.6015
290,-50.2,-1.2821,1.6007
300,-26.4,-0.583,1.6009
310,-24.8,-0.2096,1.6009
320,18.1,-2.0674,1.5981
330,-30.0,-1.3039,1.5975
340,-63.8,0.1298,1.5975
350,-50.3,0.0435,1.5946
360,-13.9,-0.3368,1.5958
370,-11.2,-0.5812,1.5967
380,-42.2,0.2006,1.5973
390,-63.1,-0.804,1.594
400,-7.0,-1.3372,1.5939
410,5.7,-2.367,1.5929
420,1.4,-3.0147,1.5922
430,-60.7,-0.1256,1.5885
440,-18.7,0.2894,1.5905
450,7.9,-0.3448,1.5844
460,-11.0,0.9564,1.5855
470,-36.1,0.6768,1.5845
480,-24.4,-2.2527,1.579
490,-3.9,0.0635,1.5797
500,-24.5,-1.5767,1.5772
510,-69.0,-1.2731,1.5767
520,-0.9,-2.671,1.5709
530,-7.3,0.008,1.5772
540,-52.0,2.6192,1.5694
550,-32.7,2.3855,1.5618
560,-20.8,-0.6498,1.5679
570,-18.6,0.2907,1.5675
580,19.5,-0.8684,1.564
590,-6.6,1.4621,1.558
600,14.2,1.4845,1.5617
610,-37.7,0.6875,1.5554
620,-68.3,-0.1567,1.5505
630,-23.4,-0.9616,1.5528
640,-51.7,1.9014,1.5514
650,-18.0,-0.2772,1.5416
660,41.7,0.5089,1.5486
670,-38.2,1.1058,1.5515
680,-0.1,3.2843,1.5508
690,-17.4,-0.4692,1.54
700,-1.8,-0.7583,1.5339
710,10.0,-2.7649,1.5442
720,4.2,0.9842,1.533
730,-56.6,-1.1733,1.5391
740,-9.2,-1.3752,1.5223
750,-22.4,1.5837,1.5284
760,13.6,-3.4198,1.5317
770,-19.2,-4.2312,1.522
780,-1.6,2.0314,1.5211
790,-4.8,-7.5306,1.5208
799,29.2,-0.0533,1.5115
