episode,episode_reward,loss,mean_entropy
0,1.8,0.0378,1.6088
10,16.8,-6.3993,1.5113
20,2.2,2.4154,1.2342
30,-9.4,-2.963,1.2263
40,-2.2,-1.8935,1.0761
50,32.8,-9.5358,1.0236
60,-44.8,4.898,0.8391
70,23.0,-0.1191,0.2714
80,1.4,-2.9793,0.2677
90,-52.0,-0.1741,0.1906
100,-7.0,-0.3497,0.1221
110,-7.6,-5.8277,0.1499
120,-37.0,-0.4389,0.2667
130,-73.0,-2.8324,0.6781
140,13.7,-5.7269,0.9013
150,54.4,-3.6856,0.416
160,11.8,-0.716,0.6939
170,47.0,1.6541,0.7572
180,32.6,-5.9744,1.0355
190,53.0,-0.8831,0.6166
200,40.0,-7.6444,0.6958
210,56.0,-5.3042,1.0003
220,47.0,-1.7895,0.9298
230,35.6,7.8845,1.0771
240,46.4,-5.8407,0.7932
250,62.8,1.1505,0.8976
260,63.4,-3.4351,0.5387
270,75.0,0.3263,0.523
280,85.0,-5.1186,0.5291
290,93.0,0.0303,0.2327
300,73.4,4.6582,0.3285
310,91.0,1.125,0.2877
320,88.0,-5.8985,0.1271
330,85.0,-3.601,0.21
340,84.0,0.0691,0.2202
350,104.0,0.6473,0.1679
360,94.0,-2.8994,0.122
370,94.0,1.6315,0.2386
380,69.0,-8.9707,0.2436
390,60.0,0.5689,0.2715
400,75.4,0.938,0.3349
410,44.0,0.5825,0.2703
420,25.0,1.3284,0.3084
430,82.0,0.9258,0.162
440,62.0,-0.361,0.2134
450,85.0,-1.3707,0.0639
460,89.0,-0.2014,0.1621
470,74.4,5.9898,0.185
480,99.0,0.0485,0.0479
490,61.0,-0.2269,0.3328
500,80.0,0.7024,0.158
510,106.0,-0.2128,0.1258
520,53.4,-6.6455,0.1158
530,86.0,-0.0387,0.1741
540,108.0,-0.0272,0.065
550,100.4,-5.0894,0.2549
560,79.0,-2.4797,0.1942
570,104.0,-0.1062,0.1254
580,90.0,6.2833,0.1686
590,104.0,0.123,0.1115
600,22.8,-8.0653,0.2029
610,41.0,2.6231,0.1047
620,68.0,-2.0439,0.215
630,106.0,0.474,0.1769
640,95.0,0.8993,0.1712
650,99.0,0.0615,0.0157
660,68.8,1.6199,0.2448
670,88.0,-2.2405,0.3058
680,66.0,5.2846,0.1916
690,100.8,2.6829,0.2617
700,102.0,0.199,0.1112
710,86.0,2.9388,0.2328
720,80.0,3.8181,0.2058
730,72.0,-0.118,0.1397
740,85.0,0.2424,0.097
750,89.0,-1.1029,0.1527
760,89.0,-0.0446,0.0841
770,102.0,1.9792,0.072
780,81.4,4.6434,0.1652
790,80.0,-1.4435,0.0842
799,103.0,-0.3341,0.0989
