episode,episode_reward,loss,mean_entropy
0,1.8,-0.005,1.6088
10,-41.0,-0.6429,1.6031
20,-30.4,-0.9482,1.5915
30,-34.2,-0.958,1.5685
40,-11.6,-4.5646,1.5393
50,5.0,-4.3616,1.4931
60,-42.2,1.2382,1.4285
70,50.4,0.1403,1.3223
80,7.8,-0.4129,1.2163
90,-4.6,0.4828,1.146
100,2.6,-8.3809,1.1439
110,-6.0,-3.0382,1.0791
120,-39.0,-4.4949,1.0923
130,-6.6,-4.0663,1.1479
140,-2.4,4.9076,1.0833
150,14.8,-4.3776,1.1394
160,29.9,-2.3244,1.1492
170,9.4,-5.5694,1.1461
180,18.2,-4.6287,0.9611
190,26.4,1.2247,0.7648
200,42.6,-10.3778,0.9726
210,18.2,-6.6386,1.0237
220,26.0,-4.4817,0.9102
230,35.0,-3.3047,0.991
240,4.2,-6.4791,1.0235
250,0.6,-3.6209,1.058
260,49.4,-11.1704,0.7475
270,78.0,-0.3535,0.7107
280,49.8,-4.8524,0.828
290,76.4,-3.2242,0.7123
300,58.4,-1.6186,0.689
310,40.8,-8.3958,0.7203
320,96.0,-0.7576,0.4814
330,76.0,-5.3334,0.5907
340,82.0,-3.9952,0.5677
350,81.0,0.5044,0.386
360,101.0,-0.1777,0.3369
370,79.8,-4.1313,0.5482
380,108.0,-0.3795,0.3027
390,90.0,-0.6394,0.3483
400,73.4,-1.9143,0.4933
410,95.0,-1.6528,0.3799
420,79.4,-0.3705,0.3713
430,76.4,-4.4212,0.3925
440,84.8,-3.9491,0.3738
450,79.0,-3.9827,0.3314
460,82.4,4.2869,0.1715
470,108.0,1.8061,0.2096
480,99.0,-0.9656,0.1209
490,83.0,-2.4724,0.2146
500,102.0,-1.4468,0.1498
510,90.0,-0.932,0.1768
520,81.0,-0.6322,0.1982
530,109.0,0.0855,0.2136
540,108.0,0.2537,0.1003
550,102.0,-0.5088,0.1783
560,88.4,-4.0665,0.1337
570,72.0,-8.7659,0.1421
580,107.0,0.1789,0.1309
590,104.0,0.3893,0.0983
600,90.0,0.3262,0.1888
610,83.0,3.0316,0.2197
620,105.0,-4.1438,0.1351
630,95.0,-2.5564,0.2256
640,102.4,-8.7802,0.1283
650,97.4,4.3012,0.0634
660,104.0,0.4897,0.1699
670,104.0,2.4528,0.1232
680,105.0,0.5269,0.1064
690,88.0,-0.2317,0.1383
700,102.0,-1.0243,0.0719
710,78.0,-1.1093,0.1432
720,87.0,-4.5322,0.0936
730,104.0,1.3144,0.0944
740,88.4,-0.6317,0.1274
750,105.0,0.0366,0.0892
760,105.0,0.0596,0.0704
770,86.0,-0.0417,0.0442
780,105.0,1.7282,0.1057
790,91.0,-0.2773,0.0486
799,92.0,-1.769,0.0571
