episode,episode_reward,loss,mean_entropy
0,1.8,0.0365,1.6088
10,-2.0,-0.0625,1.6059
20,-40.8,-0.3497,1.6047
30,-26.0,0.6952,1.6002
40,-20.9,-0.1778,1.5951
50,4.0,-0.6044,1.5892
60,-49.2,0.2649,1.5808
70,-12.3,0.5251,1.5771
80,-6.7,0.2764,1.5822
90,-47.1,0.9125,1.5764
100,-20.1,-1.3153,1.579
110,-6.6,0.3734,1.5717
120,-61.2,1.3606,1.5729
130,-31.0,-0.4749,1.5759
140,-51.3,0.2259,1.5475
150,13.5,0.9143,1.5148
160,27.0,-2.8938,1.4993
170,32.6,-3.1218,1.4046
180,61.3,1.6872,1.2719
190,37.2,6.0409,1.0402
200,28.0,-5.5142,1.1592
210,21.0,-5.0373,1.0831
220,13.6,-4.3135,1.0041
230,-24.4,-5.3215,1.1037
240,-13.6,2.5014,0.9978
250,-40.0,2.3756,1.1675
260,41.0,-5.9607,0.989
270,9.8,-8.4832,1.0614
280,0.6,-9.1977,1.3147
290,53.0,-5.9947,1.2518
300,32.8,-1.5703,1.2149
310,47.8,-1.2796,1.1864
320,43.2,-3.9246,0.8819
330,24.4,-3.1114,0.9689
340,5.0,-9.6179,1.0988
350,36.4,-6.1813,0.9702
360,54.6,0.1389,1.0697
370,51.6,-5.1269,1.1794
380,24.3,-12.5787,0.9667
390,46.4,-6.6556,0.9565
400,56.2,5.0648,1.0688
410,66.8,-2.0214,0.8434
420,54.0,-2.4745,0.813
430,52.8,6.3772,0.7595
440,43.8,0.9071,0.9012
450,64.4,-2.1283,0.7414
460,76.4,-1.7965,0.6837
470,84.4,-4.7469,0.7254
480,96.8,-0.9326,0.351
490,59.4,-5.8261,0.6581
500,78.0,-3.8825,0.6319
510,66.8,8.0662,0.737
520,61.4,2.3347,0.9039
530,44.0,0.2428,0.736
540,91.4,11.5762,0.5982
550,73.6,-5.8772,0.672
560,63.8,-2.3752,0.7658
570,75.8,-0.046,0.6599
580,85.4,0.7752,0.7161
590,101.8,2.1498,0.5986
600,81.0,0.5312,0.8089
610,70.8,10.1881,0.7564
620,76.8,-3.451,0.835
630,80.8,-1.9173,0.9285
640,77.4,-3.8371,0.7625
650,88.0,2.5834,0.5022
660,69.2,-11.3482,0.6484
670,63.8,2.7885,0.7596
680,83.0,3.7405,0.6481
690,86.8,0.1597,0.6664
700,89.0,0.0021,0.5899
710,66.2,2.8734,0.9147
720,55.4,0.8108,0.8035
730,76.4,-5.648,0.7648
740,91.4,-0.3406,0.6049
750,79.8,2.7489,0.6034
760,70.0,-8.3852,0.7102
770,98.4,5.2297,0.5701
780,59.0,6.9047,0.7577
790,74.0,-3.7091,0.5078
799,77.0,-0.8267,0.5526
