episode,episode_reward,loss,mean_entropy
0,-21.3,-0.4735,1.5894
10,-21.0,1.6997,1.5893
20,-12.0,1.6534,1.5891
30,-8.9,-0.167,1.5893
40,4.8,-0.3087,1.587
50,-37.4,-0.9881,1.5866
60,-57.1,-1.2306,1.5847
70,-16.7,-2.1257,1.5826
80,-45.7,-0.2127,1.58
90,-41.2,1.6046,1.5801
100,10.9,-1.6873,1.5806
110,-84.6,-0.9178,1.5797
120,-32.8,-1.4068,1.5805
130,-78.1,-1.5577,1.5792
140,-42.2,3.1053,1.5777
150,-9.8,-0.6918,1.5752
160,-8.9,0.3947,1.5724
170,-28.4,-1.166,1.5716
180,-14.5,-0.7454,1.5653
190,-18.6,-1.7058,1.559
200,-44.1,2.8782,1.5528
210,-27.2,-4.0253,1.5507
220,16.6,0.3428,1.5377
230,10.9,1.2647,1.535
240,-53.7,-0.7596,1.5223
250,-5.0,3.4744,1.51
260,-25.5,-4.4866,1.4949
270,-31.4,-1.5574,1.4621
280,-49.1,-3.7338,1.4518
290,7.8,-1.5318,1.4163
300,-34.3,-1.7954,1.3821
310,-13.8,-0.7603,1.3828
320,-9.6,-7.0623,1.3303
330,3.6,3.8531,1.3176
340,-40.0,-2.2471,1.3306
350,9.2,-0.5915,1.2807
360,8.8,-0.7722,1.268
370,-7.6,-1.1454,1.2467
380,-49.6,-2.1919,1.2616
390,-6.2,-2.0904,1.1912
400,59.8,-1.3758,1.1872
410,29.8,-4.4791,1.1624
420,20.6,-3.0527,1.1484
430,-29.2,1.5771,1.1341
440,-61.0,-0.2086,1.176
450,34.0,0.9038,1.1172
460,-5.2,-3.9483,1.1186
470,-39.0,-4.4484,1.111
480,40.8,-4.2596,1.0749
490,-8.2,-8.1023,1.1091
500,45.0,-2.1556,1.0755
510,-16.2,1.2887,1.0732
520,2.6,-0.146,0.9794
530,-64.2,2.0619,1.0059
540,-11.0,1.4754,0.9117
550,28.8,-9.0177,0.772
560,-7.2,6.4253,0.7831
570,31.0,-1.0725,0.8203
580,-13.2,-3.3818,0.8805
590,20.4,2.4076,0.7837
600,13.8,0.284,0.8566
610,-16.6,-0.1635,0.7776
620,3.8,2.7753,0.8055
630,3.4,0.7109,0.7935
640,-34.6,3.8045,0.7735
650,24.0,-16.6135,0.6532
660,25.0,2.0893,0.7062
670,-17.2,-0.1479,0.7492
680,-2.0,1.0175,0.7422
690,24.0,-1.3494,0.6938
700,17.2,-8.3933,0.6757
710,-25.0,-0.1748,0.6796
720,48.0,-12.2673,0.5886
730,34.0,-4.9965,0.5982
740,58.0,4.3879,0.4838
750,5.0,-2.193,0.5556
760,-4.6,-2.6992,0.5751
770,39.8,2.7912,0.4656
780,-3.0,3.7688,0.5279
790,35.0,-5.0122,0.4978
799,42.0,4.2535,0.4704
