episode,episode_reward,loss,mean_entropy
0,-5.1,0.0364,1.609
10,11.9,-0.0399,1.5952
20,-11.8,-0.8311,1.5763
30,-6.2,0.6854,1.5484
40,26.6,-0.1276,1.5113
50,-23.8,-2.0181,1.431
60,-13.4,-3.2199,1.3534
70,5.2,-0.795,1.2029
80,1.0,-5.3557,1.1154
90,-40.0,-1.4598,1.0275
100,32.6,-1.1162,1.0054
110,14.6,-1.0261,1.0253
120,-15.4,-8.7776,1.1975
130,29.0,-2.3074,1.3751
140,57.4,0.7494,1.0756
150,29.2,0.1725,0.9913
160,31.2,-3.3496,1.1616
170,19.0,2.343,0.9904
180,38.5,0.5908,1.1594
190,69.2,2.2276,0.9847
200,48.0,-2.4473,0.9298
210,53.2,-6.631,1.2712
220,49.8,0.9612,1.3131
230,50.6,4.1354,1.0751
240,21.0,-4.4427,1.3203
250,61.4,-5.3139,1.168
260,72.0,-2.7915,0.7524
270,66.6,-1.7795,0.6211
280,64.8,-6.357,0.7102
290,37.8,2.5454,0.4387
300,31.4,-1.7229,0.5554
310,48.4,-0.8369,0.6702
320,62.4,-4.5343,0.3208
330,70.4,-0.7707,0.3592
340,20.0,-5.2321,0.5471
350,81.0,0.6113,0.3712
360,72.4,2.3456,0.3978
370,82.0,2.3544,0.5807
380,93.4,-8.7862,0.4475
390,72.8,-1.973,0.5024
400,74.4,3.3035,0.408
410,96.4,-1.4049,0.2065
420,92.0,3.611,0.2122
430,71.4,2.3115,0.288
440,64.0,3.4809,0.4506
450,78.0,-0.5407,0.3192
460,94.0,-0.0583,0.2025
470,108.0,0.6986,0.263
480,99.0,-0.8555,0.2243
490,83.0,-0.2703,0.247
500,69.0,0.5105,0.1684
510,95.0,-1.1669,0.2109
520,54.0,1.4083,0.2801
530,87.0,-3.0211,0.2275
540,108.0,0.0106,0.0892
550,102.0,-0.6288,0.1414
560,67.0,-2.2711,0.2004
570,72.0,-0.873,0.1586
580,107.0,0.1971,0.1347
590,93.0,1.6748,0.173
600,90.0,0.608,0.223
610,89.0,-0.2743,0.1679
620,96.0,-1.5098,0.1751
630,42.0,0.7549,0.2395
640,106.0,0.1045,0.1243
650,88.0,4.7822,0.0535
660,51.4,5.0303,0.2281
670,94.4,4.6387,0.149
680,88.0,-7.447,0.1645
690,88.0,0.1495,0.1532
700,102.0,0.1587,0.0675
710,56.4,-0.6654,0.1823
720,71.0,-0.5734,0.1079
730,104.0,-0.5751,0.097
740,85.0,0.2296,0.0997
750,94.0,0.4512,0.1424
760,83.0,-5.6351,0.1376
770,86.0,1.4656,0.057
780,89.0,1.1065,0.1484
790,102.0,0.0064,0.0449
799,87.0,-0.6192,0.0668
