episode,episode_reward,loss,mean_entropy
0,1.8,0.0378,1.6088
10,-2.0,-0.1408,1.6059
20,13.2,-0.5548,1.6037
30,-15.8,-0.0583,1.5999
40,-39.1,-0.0711,1.5931
50,3.0,-0.8897,1.5809
60,-34.2,-0.802,1.5631
70,-14.6,-0.0746,1.5435
80,-6.4,0.18,1.5054
90,-15.8,-3.1046,1.4903
100,-2.8,-4.2773,1.4449
110,-12.6,0.0534,1.3872
120,-26.2,0.4031,1.2968
130,-33.0,-3.2962,1.243
140,10.0,-0.3937,1.1089
150,27.4,-3.8838,1.0329
160,0.8,4.7774,1.0361
170,33.8,0.0775,1.0422
180,-3.2,1.7732,1.0703
190,37.0,7.199,0.9343
200,24.2,1.9105,1.0247
210,-8.2,0.4303,1.0519
220,4.4,-6.2235,0.933
230,9.0,-0.434,0.8864
240,46.8,-1.17,0.891
250,-43.2,2.9701,0.992
260,-5.2,-0.8698,0.91
270,28.8,-4.2796,0.8165
280,-37.6,4.3129,0.9095
290,9.0,-0.6839,0.8466
300,35.8,-4.7437,0.9927
310,-33.0,-1.4646,0.9878
320,48.4,-8.2487,0.7034
330,51.4,3.3408,0.6602
340,38.4,-4.2865,0.8976
350,75.0,-0.3452,0.8108
360,56.4,-9.3433,0.7912
370,34.0,0.4164,0.8486
380,35.8,-4.8249,0.9208
390,37.0,-2.5709,0.7771
400,61.8,-0.9957,0.7596
410,61.4,2.1649,0.7434
420,52.0,-0.2353,0.748
430,39.4,-0.3359,0.8071
440,9.0,-3.7712,0.8561
450,36.4,-4.7813,0.9279
460,47.4,0.9527,0.6639
470,5.4,-8.1073,0.6921
480,83.4,-6.3066,0.4164
490,43.4,-7.201,0.6232
500,52.4,-6.098,0.5208
510,55.0,-2.4008,0.6739
520,58.4,-0.0972,0.6204
530,46.0,-4.0186,0.7729
540,41.4,6.5756,0.6991
550,65.0,-4.3923,0.7978
560,49.0,1.1275,0.7924
570,61.8,0.662,0.8369
580,42.0,-0.2993,0.882
590,73.0,0.698,0.7336
600,41.4,-7.8118,0.8304
610,38.8,-5.3378,0.8513
620,71.0,-6.1064,0.7038
630,85.0,1.0136,0.8248
640,50.4,-9.7092,0.6868
650,85.4,3.0784,0.5675
660,74.0,-4.9477,0.7665
670,95.4,-3.973,0.7091
680,56.2,-7.6443,0.8032
690,72.0,-2.8243,0.6575
700,61.4,1.3939,0.4289
710,91.8,1.4748,0.5947
720,94.0,-0.2261,0.3739
730,94.2,2.6128,0.3902
740,79.0,3.9107,0.3347
750,92.4,-0.1692,0.4428
760,64.2,-7.0144,0.4827
770,80.0,4.5794,0.2975
780,38.0,-4.0312,0.5074
790,80.0,-8.6881,0.2954
800,76.4,-5.6551,0.5218
810,89.0,-1.4764,0.4776
820,78.0,-2.2652,0.5414
830,88.0,-1.0381,0.3845
840,98.0,2.2343,0.404
850,68.0,0.9788,0.3994
860,70.0,-3.5836,0.4645
870,91.0,-15.0556,0.346
880,71.4,3.6658,0.4915
890,101.4,-6.3821,0.4114
900,103.0,-2.3369,0.3419
910,89.4,-1.0893,0.4118
920,87.0,-6.6434,0.2959
930,89.0,-0.1773,0.2311
940,107.0,-0.4228,0.283
950,97.4,-8.2731,0.244
960,85.0,-1.5019,0.2372
970,90.0,-7.2987,0.1963
980,90.0,-1.884,0.3334
990,73.4,5.5456,0.3396
1000,89.0,1.3749,0.2772
1010,88.0,1.4069,0.2947
1020,104.0,0.3134,0.1364
1030,85.0,2.9664,0.4094
1040,69.0,2.6554,0.4086
1050,47.0,0.7183,0.4034
1060,101.0,-1.8669,0.1902
1070,93.4,-1.5405,0.3772
1080,93.0,-3.258,0.4632
1090,96.0,-2.9315,0.1756
1100,93.0,0.6841,0.1986
1110,99.0,-5.6,0.2031
1120,61.0,3.6183,0.1743
1130,102.0,-0.304,0.1054
1140,87.0,-0.1322,0.1554
1150,96.0,-5.6789,0.0798
1160,87.0,-0.8853,0.2313
1170,51.0,-1.2881,0.2702
1180,88.0,0.7183,0.1588
1190,73.0,-0.0316,0.1479
1200,86.0,0.0707,0.0674
1210,103.0,0.3369,0.0906
1220,101.0,-0.0697,0.0559
1230,89.0,0.0503,0.1696
1240,81.0,2.5235,0.1187
1250,88.0,-0.5754,0.1469
1260,106.0,-0.1645,0.0961
1270,89.0,-0.5654,0.1917
1280,102.0,0.0346,0.0738
1290,101.0,2.1181,0.1085
1300,91.0,1.0366,0.1487
1310,104.0,0.2772,0.1221
1320,106.0,-0.0981,0.2259
1330,86.0,5.3449,0.1877
1340,105.0,0.2385,0.1731
1350,104.0,-0.0957,0.0851
1360,106.0,-2.2822,0.1661
1370,106.0,0.1902,0.1153
1380,92.0,1.343,0.1591
1390,106.0,-0.0555,0.1598
1400,103.0,-0.033,0.0425
1410,92.0,5.7307,0.1286
1420,86.0,0.6467,0.0954
1430,72.0,-1.1246,0.2128
1440,103.0,0.0152,0.199
1450,84.0,5.6858,0.1548
1460,88.0,-0.8283,0.1758
1470,82.0,2.1257,0.2387
1480,91.0,-4.1039,0.1293
1490,102.0,-0.044,0.0676
1499,90.0,-1.3406,0.198
