episode,episode_reward,loss,mean_entropy
0,-5.1,0.0364,1.609
10,-3.9,-9.978,1.3488
20,-16.4,-6.1103,1.0769
30,-20.2,-3.0354,0.8111
40,9.0,-8.0672,0.8934
50,26.2,3.6092,0.7717
60,-32.2,0.9403,1.1136
70,50.4,-0.0353,1.1326
80,-7.5,8.5793,0.927
90,-24.8,-5.1718,0.8866
100,3.8,-4.4799,0.7072
110,31.6,-4.7511,0.9075
120,33.0,2.4292,1.1066
130,28.0,0.1356,1.0118
140,76.6,-4.097,0.8118
150,71.2,-3.8288,0.7365
160,66.8,11.3359,0.6005
170,47.4,4.8498,0.7475
180,73.8,9.1544,0.8551
190,63.8,6.9,0.992
200,5.2,-7.3459,1.1491
210,51.6,1.0281,0.8071
220,77.0,0.837,0.6909
230,49.5,-6.7149,0.9293
240,85.6,1.3266,0.782
250,85.0,-4.3724,0.4944
260,99.0,0.81,0.31
270,104.0,0.2795,0.2742
280,84.0,0.9986,0.2966
290,80.0,2.2433,0.1546
300,107.0,-0.1075,0.2167
310,86.0,0.1222,0.2689
320,80.0,2.578,0.2232
330,79.0,-4.6072,0.2395
340,107.0,0.2784,0.1681
350,103.4,-10.1374,0.1068
360,101.0,-0.4257,0.1188
370,82.0,-6.6047,0.1117
380,108.0,-0.6284,0.1193
390,35.0,-13.7027,0.1747
400,65.0,-6.9841,0.2372
410,79.0,0.2486,0.1766
420,91.0,-0.7963,0.1024
430,93.0,-0.0784,0.0909
440,91.4,-1.5096,0.2664
450,79.0,-1.2025,0.325
460,78.0,-0.7913,0.1243
470,85.0,-1.6968,0.1545
480,99.0,-0.0189,0.0083
490,94.0,-3.3486,0.1153
500,91.0,-0.1782,0.0645
510,89.4,-0.8638,0.0806
520,76.0,1.9342,0.1471
530,109.0,-1.8511,0.0878
540,108.0,-0.0003,0.0181
550,86.0,-1.8365,0.0731
560,90.0,-1.9779,0.09
570,104.0,0.4059,0.071
580,107.0,0.1012,0.092
590,104.0,0.1319,0.0282
600,106.0,0.165,0.1222
610,78.0,-3.0144,0.1306
620,74.0,0.0036,0.0638
630,57.0,-0.7672,0.1482
640,89.4,-12.4114,0.0877
650,99.0,0.0017,0.0008
660,104.0,0.5049,0.0539
670,96.0,0.0855,0.0225
680,94.0,-0.1827,0.0433
690,93.0,-0.0422,0.0522
700,91.0,-0.1671,0.0357
710,94.0,-0.4163,0.0701
720,92.0,0.0026,0.0171
730,93.0,0.1118,0.0439
740,90.0,-0.1328,0.0697
750,83.0,0.0808,0.0458
760,105.0,-0.6004,0.0673
770,102.0,1.0652,0.0408
780,105.0,0.8232,0.0916
790,91.0,-0.1455,0.0398
799,103.0,-0.0071,0.0159
